district,state,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon
HAZARIBAG,JHARKHAND,23.943240186397567,85.4944125773333,23.418811798095703,24.545661926269645,85.01113891601557,85.92803955078125
JAMTARA,JHARKHAND,23.978731172854115,86.95325333793872,23.794370651245117,24.16764068603527,86.46492004394526,87.29454803466803
KODERMA,JHARKHAND,24.55671919024037,85.71690983317349,24.28569602966303,24.822650909423885,85.44213104248053,85.90457153320312
LATEHAR,JHARKHAND,23.725110710616697,84.4829881651212,23.323490142822322,24.04771041870123,83.96582794189459,84.95870208740234
LOHARDAGA,JHARKHAND,23.4887948482157,84.66051480409914,23.278432846069336,23.67543983459467,84.3884506225586,84.93849182128906
PAKUR,JHARKHAND,24.572602667220693,87.69691891866192,24.235399246215934,24.826982498169002,87.3843383789063,87.91340637207031
PALAMU,JHARKHAND,24.196925373989828,84.2031087853643,23.741519927978516,24.63803291320812,83.80561065673834,84.58104705810547
PASHCHIM SINGHBHUM,JHARKHAND,22.39940671567569,85.54098229349407,21.9665908813476,22.882570266723633,84.97982025146513,86.04328918457037
PURBA SINGHBHUM,JHARKHAND,22.591337122972448,86.50910086613368,22.20798110961914,23.013282775878963,86.0618286132813,86.88860321044922
RANCHI,JHARKHAND,23.184232935573736,85.31781719879119,22.567869186401424,23.71405982971214,84.86260223388689,85.8958587646485
SAHIBGANJ,JHARKHAND,24.93667994332072,87.68264054760495,24.71352767944336,25.348390579223633,87.44919586181646,87.97334289550787
SARAIKELA KHARSAWAN,JHARKHAND,22.85591250284646,85.89614820369717,22.478618621826115,23.152479171753043,85.50866699218756,86.24046325683594
SIMDEGA,JHARKHAND,22.608759070958403,84.59193825197107,22.337320327758846,22.83340072631836,83.99944305419933,85.07478332519537
BAGALKOT,KARNATAKA,16.15860292800196,75.64526091988739,15.81040191650402,16.76560974121105,74.99655151367199,76.33318328857428
BANGALORE RURAL,KARNATAKA,12.936824359526266,77.47369586527996,12.235771179199276,13.492400169372502,77.06408691406256,77.95694732666027
BANGALORE URBAN,KARNATAKA,12.901922682976181,77.58685784590884,12.648251533508358,13.223281860351676,77.3222198486331,77.82559967041016
BELGAUM,KARNATAKA,16.161070913241105,74.72329149193537,15.356190681457633,16.954772949218807,74.09652709960932,75.46206665039062
BELLARY,KARNATAKA,15.074373320114567,76.47228515246694,14.556280136108512,15.82948970794672,75.66461181640642,77.16525268554716
BIDAR,KARNATAKA,17.950361409554162,77.19459891686084,17.580829620361385,18.455120086669922,76.69055175781267,77.65339660644548
BIJAPUR,KARNATAKA,16.84015221595769,75.95909241994232,16.146602630615178,17.47751045227045,75.3363265991211,76.46882629394537
CHAMRAJNAGAR,KARNATAKA,11.952478913879443,77.02384926757824,11.574480056762695,12.30421066284191,76.39640808105463,77.76844787597662
CHIKMAGALUR,KARNATAKA,13.425285761088231,75.67626686272537,12.90996170043951,13.894510269165153,75.08071899414057,76.35978698730463
CHITRADURGA,KARNATAKA,14.29102005613483,76.57821876124342,13.569020271301383,15.030131340026912,76.02285003662115,77.02001953125006
DAKSHIN KANNAD,KARNATAKA,12.891202139041205,74.96216208859175,12.455021858215332,13.178779602051009,74.77458190917997,75.66985321044933
DAVANAGERE,KARNATAKA,14.330412203141174,75.91723965439274,13.696880340576229,14.92444038391119,75.4003372192384,76.53041076660162
DHARWAD,KARNATAKA,15.343828524208547,75.13831131291455,15.03472995758051,15.69925975799572,74.73139190673834,75.5573196411134
GADAG,KARNATAKA,15.507123332942351,75.64861182816543,14.939621925354004,15.884161949157772,75.27632141113287,76.0453491210938
GULBARGA,KARNATAKA,17.070458581083077,76.87503925487164,16.18787956237793,17.76831245422369,76.06655120849615,77.68799591064459
HASSAN,KARNATAKA,12.945097469091465,76.11049774169933,12.5059814453125,13.54175853729248,75.55378723144548,76.62896728515642
HAVERI,KARNATAKA,14.737578885860213,75.39612350623823,14.27112102508545,15.156290054321289,75.02012634277361,75.81918334960943
KODAGU,KARNATAKA,12.396841842232073,75.7933652756063,11.923301696777344,12.827560424804688,75.36560058593756,76.18308258056646
KOLAR,KARNATAKA,13.312798377737069,78.01376961642389,12.752590179443416,13.950551986694336,77.35523223876947,78.57746887207026
KOPPAL,KARNATAKA,15.651249350788488,76.16170303487343,15.13325023651123,16.006891250610465,75.77237701416033,76.81059265136724
MANDYA,KARNATAKA,12.5749014210819,76.8157005873808,12.21063041687023,13.047239303588867,76.32617950439482,77.32424163818365
MYSORE,KARNATAKA,12.248098871896598,76.52881928083973,11.730501174926758,12.649641990661678,75.9067993164062,77.12578582763666
RAICHUR,KARNATAKA,16.05079118973391,76.87368570175856,15.542160987854004,16.55735015869135,76.23426818847685,77.59227752685575
SHIMOGA,KARNATAKA,14.063842225440593,75.17882038792152,13.455401420593319,14.650130271911735,74.63037872314482,75.73426818847662
TUMKUR,KARNATAKA,13.592465566940863,77.02298123789605,12.738039970398006,14.337740898132381,76.34189605712908,77.51035308837908
UDUPI,KARNATAKA,13.450402347252016,74.72009941529593,12.979879379272404,13.981021881103516,74.58430480957031,75.19970703125028
UTTAR KANNAND,KARNATAKA,14.538956431657219,74.35229045734296,13.922550201416243,15.522800445556697,74.0543060302735,75.1082611083985
ALAPPUZHA,KERALA,9.542602057700279,76.38010750970818,9.099840164184684,9.889862060546875,76.27086639404325,76.679252624512
ERNAKULAM,KERALA,10.004877567060205,76.26957707814216,9.792560577392805,10.294330596923828,76.1659698486331,76.82726287841825
IDUKKI,KERALA,9.804805311812023,77.04586673644664,9.262399673461914,10.346281051635742,76.61801910400419,77.39623260498075
KANNUR,KERALA,11.941521412492575,75.35209916157356,11.668700218200911,12.295379638671818,75.17217254638678,75.93161773681658
KASARAGOD,KERALA,12.333101494047686,75.0776846555105,12.049860000610579,12.790810585021973,74.86653137207026,75.43039703369158
KOLLAM,KERALA,8.929387936983968,76.63607729660737,8.75290966033947,9.163640022277775,76.47235870361345,77.24704742431669
KOTTAYAM,KERALA,9.643698229845823,76.4605985741765,9.39314174652094,9.850160598754996,76.36791992187506,76.97171783447283
KOZHIKODE,KERALA,11.392922958897737,75.71158633244778,11.125416755676497,11.797610282898063,75.5298614501956,76.13736724853544
MALAPPURAM,KERALA,10.973298456204486,75.93910685709214,10.679630279541016,11.518679618835506,75.82514190673857,76.54075622558622
PALAKKAD,KERALA,10.784923814880116,76.4998043208761,10.326789855957145,11.231330871582031,76.0188598632813,76.89750671386736
PATTANAMTITTA,KERALA,9.291310149380333,76.86412320585343,9.06051063537609,9.483070373535213,76.46254730224621,77.26782989501964
THIRUVANANTHAPURAM,KERALA,8.537100328770062,76.88711527136965,8.297470092773494,8.85227108001709,76.67662811279314,77.26515960693371
THRISSUR,KERALA,10.458931619126817,76.12321861344167,10.167250633239803,10.776741981506461,75.95707702636724,76.89182281494146
WAYANAD,KERALA,11.715275458886635,76.07587228694443,11.442711830139217,11.970639228820914,75.77218627929705,76.43557739257812
KAVARATTI,LAKSHADWEEP,10.436388629785013,72.82992653530933,8.26597118377697,11.706251144409407,72.10013580322283,73.70263671875028
ANUPPUR,MADHYA PRADESH,23.181840886351917,81.86559999117293,22.877080917358512,23.42350959777832,81.53109741210943,82.18998718261713
ASHOKNAGAR,MADHYA PRADESH,24.630989348840185,77.82974428493496,24.23571968078636,25.011131286621094,77.4700698852539,78.26985168457048
BALAGHAT,MADHYA PRADESH,21.800205882333824,80.42170101043604,21.319171905517578,22.39860916137718,79.50582122802751,81.04043579101562
BARWANI,MADHYA PRADESH,21.70213534301708,74.9100462032271,21.37248992919922,22.13634109497076,74.43554687500006,75.63067626953125
BETUL,MADHYA PRADESH,21.964625749069118,77.78734300734219,21.359069824218864,22.404809951782227,77.05619049072283,78.54164123535173
BHIND,MADHYA PRADESH,26.35951116709411,78.761832952823,25.910280227661076,26.80021286010765,78.20407867431646,79.13374328613287
BHOPAL,MADHYA PRADESH,23.480725739256798,77.39246768992982,23.093080520629996,23.90015029907238,77.1653671264649,77.64601135253912
BURHANPUR,MADHYA PRADESH,21.364564194186844,76.24460549919075,21.07530975341797,21.60007286071783,75.94831848144543,76.79180145263666
CHHATARPUR,MADHYA PRADESH,24.81363557162637,79.56449227277385,24.102630615234318,25.428710937500057,78.981986999512,80.42369842529303
CHHINDWARA,MADHYA PRADESH,22.22796546282274,78.76413050189798,21.46438026428234,22.8176326751709,78.24418640136724,79.40270996093756
DAMOH,MADHYA PRADESH,23.76624280066045,79.47049299401442,23.15030097961437,24.449600219726562,79.05042266845709,79.94931793212896
DATIA,MADHYA PRADESH,25.902262568211864,78.63916609208674,25.551950454711914,26.29497146606451,78.20852661132824,78.88719177246122
DEWAS,MADHYA PRADESH,22.785110070202194,76.46088754942687,22.295230865478743,23.325202941894474,75.89868927001959,77.12439727783214
DHAR,MADHYA PRADESH,22.572681424399896,75.11056161544832,22.021989822387695,23.139680862426758,74.47457885742188,75.71393585205107
DINDORI,MADHYA PRADESH,22.83738388028404,81.0433280381729,22.240570068359432,23.373081207275447,80.47289276123053,81.73182678222668
EAST NIMAR,MADHYA PRADESH,22.098984138704495,76.55805504195693,21.543230056762695,22.41829109191889,76.0232009887697,77.21869659423845
GUNA,MADHYA PRADESH,24.490436911117943,77.22358904021316,23.88964080810547,25.119260787963867,76.80066680908209,77.73036956787138
GWALIOR,MADHYA PRADESH,26.040745624474173,78.12782534531196,25.716091156005916,26.35267066955572,77.6615600585937,78.64379882812528
HARDA,MADHYA PRADESH,22.227658732319046,77.07022706330561,21.907859802246094,22.58796119689947,76.77961730957031,77.49920654296886
HOSHANGABAD,MADHYA PRADESH,22.595268563700646,78.02168307566217,22.22024154663086,22.988300323486328,77.20343780517595,78.69158172607439
INDORE,MADHYA PRADESH,22.68026590302183,75.9133808493277,22.33562278747553,23.093389511108512,75.42321777343756,76.24389648437506
JABALPUR,MADHYA PRADESH,23.1852519893047,79.98328759535315,22.832099914550895,23.469890594482422,79.34512329101574,80.5770111083985
